meanings,jlpt_level,stroke_count,radicals,reading_kun,reading_on
"['food', 'bait', 'prey', 'tempting profit', 'comida', 'comida para animales', 'cebo', 'presa', 'tentación']",,14,184,"['え', 'えば', 'えさ', 'もち']","['ジ', 'ニ']"
"['intelligence', 'imperial', 'inteligente', 'angelical', 'imperial']",,16,29,['あき.らか'],['エイ']
"['occupation', 'camp', 'perform', 'build', 'conduct (business)', 'travail', 'camp', 'exécuter', 'construire', 'diriger', 'negocio', 'campamento', 'dirigir un negocio', 'ocupação', 'acampamento', 'desempenhar', 'construção', 'conduta (negócios)']",,12,30,"['いとな.む', 'いとな.み']",['エイ']
"['sharp (music)', 'baby']",,17,38,"['ふ.れる', 'みどりご', 'あかご']",['エイ']
"['shadow', 'silhouette', 'phantom', 'ombre portée', 'silhouette', 'fantôme', 'sombra', 'silueta', 'forma', 'parte contraria', 'reverso', 'sombra', 'silhueta', 'fantasma']",,15,59,['かげ'],['エイ']
"['reflect', 'reflection', 'projection', 'projection', 'refléter', 'réflexion', 'reflejo', 'reflexión', 'reflejar', 'reflejarse', 'proyectarse', 'proyectar', 'reflitir', 'reflexão', 'projeção']",,9,72,"['うつ.る', 'うつ.す', 'は.える', '-ば.え']",['エイ']
"['pull', 'tug', 'jerk', 'admit', 'install', 'quote', 'refer to']",,6,73,['ひ.く'],['エイ']
"['flourish', 'prosperity', 'honor', 'glory', 'splendor', 'florissant', 'prospérité', 'honneur', 'gloire', 'splendeur', 'florecer', 'prosperidad', 'honor', 'gloria', 'prosperar', 'florescer', 'prosperidade', 'honra', 'glória', 'esplendor']",,9,75,"['さか.える', 'は.え', '-ば.え', 'は.える', 'え']","['エイ', 'ヨウ']"
"['eternity', 'long', 'lengthy', 'éternité', 'long', 'permanent', 'eterno', 'infinito', 'perpetuo', 'largo', 'prolongado', 'eternidade', 'ambicionar']",,5,85,['なが.い'],['エイ']
"['swim', 'nager', 'nadar', 'nadar']",,8,85,['およ.ぐ'],['エイ']
"['leak', 'escape']",,9,85,"['も.らす', 'の.びる', 'も.れる']","['エイ', 'セツ']"
"['sparkle of jewelry', 'crystal', 'brillo de las joyas']",,12,96,[],['エイ']
"['fullness', 'enough', 'pride', 'satisfy']",,9,108,"['み.たす', 'み.ちる']",['エイ']
"['heads of grain', 'cleverness']",,16,115,"['ほさき', 'のぎ']",['エイ']
"['heads of grain', 'cleverness']",,16,113,"['ほさき', 'のぎ']",['エイ']
"['England', 'English', 'hero', 'outstanding', 'calyx', 'Angleterre', 'anglais', 'fleur éclose', 'brillant', 'Inglaterra', 'excelente', 'Inglaterra', 'Inglês']",,8,140,['はなぶさ'],['エイ']
"['defense', 'protection', 'défense', 'protection', 'defensa', 'protección', 'guardián', 'defesa', 'proteção']",,16,144,[],"['エイ', 'エ']"
"['recitation', 'poem', 'song', 'composing', 'composer (un poème)', 'récitation', 'poème', 'chanson', 'recital', 'composición', 'poesía', 'recitar', 'componer', 'escribir poesía', 'recital', 'poema', 'canção', 'composição']",,12,149,"['よ.む', 'うた.う']",['エイ']
"['pointed', 'sharpness', 'edge', 'weapon', 'sharp', 'violent', 'pointu', 'aigu', 'tranchant', 'arme', 'radical', 'violent', 'puntiagudo', 'afilado', 'borde', 'violento', 'apontar', 'afiar', 'fio', 'arma', 'violento', 'afiado']",,15,167,['するど.い'],['エイ']
"['fluid', 'liquid', 'juice', 'sap', 'secretion', 'liquide', 'jus', 'fluide', 'sève', 'sécrétion', 'líquido', 'fluido', 'fluido', 'líquido', 'suco', 'graxa', 'secreção']",,11,85,[],['エキ']
"['epidemic', 'épidémie', 'epidemia', 'epidemia']",,9,104,[],"['エキ', 'ヤク']"
"['benefit', 'gain', 'profit', 'advantage', 'bénéfice', 'gain', 'profit', 'avantage', 'beneficio', 'ganancia', 'ventaja', 'provecho', 'benefício', 'ganho', 'lucro', 'vantagem']",,10,108,['ま.す'],"['エキ', 'ヤク']"
"['station', 'gare', 'estación', 'estação']",,14,187,[],['エキ']
